what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.papyrus.log,0.7.2.v201101191114,"org.eclipse.papyrus.log",1362920016411
started,bundle,org.eclipse.papyrus.modelexplorer,0.7.2.v201101191114,"org.eclipse.papyrus.modelexplorer",1362920016414
started,bundle,org.eclipse.papyrus.ui.perspectiveconfiguration,0.7.2.v201101191114,"org.eclipse.papyrus.ui.perspectiveconfiguration",1362920016423
started,bundle,org.topcased.requirement,3.3.1.201102071538,"org.topcased.requirement",1362920016437
started,bundle,org.topcased.requirement.core,3.3.2.201102071538,"org.topcased.requirement.core",1362920016439
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1362920016447
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1362920016449
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1362920016458
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1362920016471
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1362920016477
started,bundle,org.eclipse.draw2d,3.6.2.v20110128-0100,"org.eclipse.draw2d",1362920016500
started,bundle,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef",1362920016512
started,bundle,org.eclipse.gmf.runtime.draw2d.ui,1.4.2.v20101217-0030,"org.eclipse.gmf.runtime.draw2d.ui",1362920016519
started,bundle,org.eclipse.uml2.uml,3.1.2.v201010261927,"org.eclipse.uml2.uml",1362920016532
os,sysinfo,,,"win32",1362920016534
arch,sysinfo,,,"x86",1362920016534
ws,sysinfo,,,"win32",1362920016534
locale,sysinfo,,,"fr_FR",1362920016534
processors,sysinfo,,,"4",1362920016534
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1362920016534
java.runtime.version,sysinfo,,,"1.7.0_11-b21",1362920016534
java.specification.name,sysinfo,,,"Java Platform API Specification",1362920016534
java.specification.vendor,sysinfo,,,"Oracle Corporation",1362920016534
java.specification.version,sysinfo,,,"1.7",1362920016534
java.vendor,sysinfo,,,"Oracle Corporation",1362920016534
java.version,sysinfo,,,"1.7.0_11",1362920016534
java.vm.info,sysinfo,,,"mixed mode, sharing",1362920016534
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1362920016535
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1362920016535
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1362920016535
java.vm.specification.version,sysinfo,,,"1.7",1362920016535
java.vm.vendor,sysinfo,,,"Oracle Corporation",1362920016535
java.vm.version,sysinfo,,,"23.6-b04",1362920016535
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1362920017603
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362920018331
